query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp
156	53918672199.997116	1490603742.422137	-1.000000	179494067.328760	54510652910.239998	0.027157	0.001000	0.002000	0.899000	0.027345	0.003293
157	108332896306.663589	2229299096.602812	-1.000000	0.000000	107061416322.000000	0.048038	0.001000	0.002000	1.022000	0.020823	0.000000
158	22218021366.666069	964673278.882473	-1.000000	330592510.378872	22435592581.360001	0.011190	0.000000	0.002000	0.880000	0.042997	0.014735
159	18921153679.999638	890975409.213075	-1.000000	193256850.438677	19195510408.360001	0.009530	0.000000	0.003000	0.861000	0.046416	0.010068
160	26154415226.665783	1045596773.319417	-1.000000	184611937.062328	25286864893.599998	0.013173	0.001000	0.002000	0.886000	0.041349	0.007301
161	77495171466.663879	2160115379.964346	-1.000000	80232534.011505	78238987006.639999	0.028440	0.000000	0.001000	0.853000	0.027609	0.001025
162	62932348306.667801	1564896754.939831	-1.000000	122717128.473310	62765087278.160004	0.038969	0.000000	0.003000	1.065000	0.024933	0.001955
163	9963754026.666508	442024840.809070	-1.000000	73615760.931852	9623624177.920000	0.010724	0.001000	0.003000	0.955000	0.045931	0.007649
164	40665043573.331406	1298937200.940975	-1.000000	124137664.694056	40931880356.000000	0.020482	0.000000	0.003000	1.048000	0.031734	0.003033
165	26723597786.666389	833802705.770588	-1.000000	0.000000	26277945856.320000	0.023519	0.000000	0.002000	0.927000	0.031730	0.000000
166	27015447333.333061	842826822.148995	-1.000000	0.000000	26292606139.040001	0.023553	0.000000	0.003000	1.005000	0.032056	0.000000
167	24544573479.999233	1013322805.878294	-1.000000	154331383.850866	24372827623.520000	0.012362	0.000000	0.003000	0.848000	0.041576	0.006332
168	98101109726.660614	1987489161.621867	-1.000000	234684850.927018	97842178810.660004	0.049410	0.000000	0.003000	0.944000	0.020313	0.002399
169	65419117006.662956	1636998100.383058	-1.000000	168763196.783394	65344138076.000000	0.032949	0.000000	0.003000	0.950000	0.025052	0.002583
170	64106985719.996384	1621051682.687300	-1.000000	172892563.061257	65352176258.419998	0.032289	0.000000	0.003000	0.949000	0.024805	0.002646
171	33276079839.997978	1259564661.225678	-1.000000	108256650.206756	32704103452.720001	0.014700	0.001000	0.001000	0.853000	0.038514	0.003310
172	85815437573.329178	2002151334.476697	-1.000000	129347983.023450	84784779137.960007	0.037753	0.000000	0.002000	1.060000	0.023615	0.001526
173	19428364093.332935	902721972.826869	-1.000000	155820773.042937	19520676388.560001	0.009785	0.001000	0.002000	0.834000	0.046244	0.007982
